축제명,개최장소,축제시작일자,축제종료일자,축제내용,주관기관명,주최기관명,후원기관명,전화번호,홈페이지주소,관련정보,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
2025 진안홍삼축제,마이산 북부 일원,2025-09-26,2025-09-28,홍삼 수삼판매+홍삼관련체험+문화공연 등,진안홍삼축제추진위원회,전북특별자치도 진안군,,063-430-2392,https://www.jinan.go.kr/festival/,,전북특별자치도 진안군 진안읍 마이산로 160,전북특별자치도 진안군 진안읍 단양리 778,35.773251,127.4162559,2025-07-28,4731000,전북특별자치도 진안군
제7회 진안고원 김치보쌈축제,진안홍삼한방센터 일원,2025-11-15,2025-11-16,우리집 김치담그기+사랑의 김장나눔 등,진안YMCA,전북특별자치도 진안군,,063-430-2393,https://jinankimchi.kr/,,전북특별자치도 진안군 진안읍 진무로 1166,전북특별자치도 진안군 진안읍 군상리 234,35.7949205,127.434257,2025-07-28,4731000,전북특별자치도 진안군
2025년 섬 수선화축제,선도 수선화정원,2025-04-04,2025-04-13,개막식+전시공연+체험프로그램+특별기획전등,축제추진위원회,전라남도 신안군청,,061-240-5410,https://tour.shinan.go.kr/,,전라남도 신안군 지도읍 선도길 72-26,,,,2025-05-19,5010000,전라남도 신안군
2025 섬 튤립축제,1004섬 튤립·홍매화정원,2025-04-04,2025-04-13,개막식+전시공연+체험프로그램+특별기획전등,축제추진위원회,전라남도 신안군청,,061-240-4048,https://tour.shinan.go.kr/,,전라남도 신안군 임자면 대광해수욕장길 179,,,,2025-05-19,5010000,전라남도 신안군
2025년 팔금 섬 유채꽃축제,팔금 장목주차장 일원,2025-04-16,2025-04-25,개막식+전시공연+체험프로그램+특별기획전등,축제추진위원회,전라남도 신안군청,,061-240-3948,https://tour.shinan.go.kr/,,,전라남도 신안군 팔금면 원산리 112-1,,,2025-05-19,5010000,전라남도 신안군
섬 간재미축제,도초 수국정원일원,2025-04-19,2025-04-20,개막식+간재미요리대회+간재미초무침만들기+판매행사등,축제추진위원회,전라남도 신안군청,,061-240-8410,https://tour.shinan.go.kr/,,,전라남도 신안군 도초면 지남리 973,,,2025-05-19,5010000,전라남도 신안군
100+4 피아노섬 축제,1004뮤지엄파크,2025-04-26,2025-04-27,개막식+전시공연+체험프로그램+특별기획전+푸드코드운영등,축제추진위원회,전라남도 신안군청,,061-240-8353,https://tour.shinan.go.kr/,,전라남도 신안군 자은면 자은서부2길 508-65,,,,2025-05-19,5010000,전라남도 신안군
신안 세계 김밥페스타,1004뮤지엄파크,2025-04-26,2025-04-27,개막식+체험프로그램+깁밥경연대회등,축제추진위원회,전라남도 신안군청,,061-240-4132,https://tour.shinan.go.kr/,,전라남도 신안군 자은면 자은서부2길 508-65,,,,2025-05-19,5010000,전라남도 신안군
옥도 작약 꽃 축제,옥도 작약 정원,2025-05-09,2025-05-17,개막식+전시공연+체험프로그램+특별기획전등,축제추진위원회,전라남도 신안군청,,061-240-8686,https://tour.shinan.go.kr/,,전라남도 신안군 하의면 옥도길 58,,,,2025-05-19,5010000,전라남도 신안군
라벤더 축제,안좌 퍼플섬,2025-05-16,2025-05-25,개막식+전시공연+체험프로그램+특별기획전등,축제추진위원회,전라남도 신안군청,,061-240-8129,https://tour.shinan.go.kr/,,전라남도 신안군 안좌면 소곡두리길 257-35,,,,2025-05-19,5010000,전라남도 신안군
2025 장흥 회령포 이순신 축제,회진면 회령진성 및 회진항 물양장 일원,2025-09-12,2025-09-14,삼도수군통제사 입성식+출정식 주제공연+장흥회령포 판옥선노젓기대회+회령포골든벨+회령포가요제+조선수군학교체험 등,전라남도 장흥군,장흥 회령포 이순신 축제 추진위원회,,061-860-5762,https://www.jangheung.go.kr/tour/festival/autumn/hoeryeongpo,"회령포란 이순신 장군이 삼도수군통제사 교지를 받고 회령진성에서 회령포 결의(취임식)를 다진 장소로, 명량대첩 기포지로서 회령포의 역사성을 재조명하는 역사문화축제이자, 회진면민과 지역문화예술단체 등 전 지역민이 함께 협력하고 참여하는 축제",,전라남도 장흥군 회진면 회진리 1009-3,34.48463539,126.9388275,2025-07-16,4910000,전라남도 장흥군
장수 한우랑 사과랑 축제,의암공원 및 누리파크 일원,2025-09-18,2025-09-21,장수한우마당+RED푸드존+REDFOOD가족요리대전+사과낚시체험+사과골프+사과볼링사과양궁체험+향토음식거리+사과떡매치기,사)장수한우랑사과랑축제추진위원회,전북특별자치도 장수군,전북특별자치도,063-350-2356,http://www.jangsufestival.com,,전북특별자치도 장수군 장수읍 한누리로 393,전북특별자치도 장수군 장수읍 두산리 472,35.6411154,127.5181094,2025-05-21,4751000,전북특별자치도 장수군
보성다향대축제,한국차문화공원,2025-05-02,2025-05-06,차 관련 공연+전시+경연+판매+체험행사,보성차생산자조합,보성다향대축제추진위원회,문화체육관광부+농림축산식품부+중소벤처기업부+전라남도+한국관광공사 등,061-853-0058,www.보성다향대축제.com,,전라남도 보성군 보성읍 녹차로 775,전라남도 보성군 보성읍 봉산리 1197,34.71987643,127.0817099,2025-05-20,4890000,전라남도 보성군
서편제 보성소리축제,보성군문화예술회관,2025-05-04,2025-05-06,전국 판소리·고수경연대회+추모공연 등,전라남도 보성군,서편제보성소리축제추진위원회,문화체육관광부+교육부+문화재청+한국문화예술위원회 등,061-850-5892,,,전라남도 보성군 보성읍 송재로 281-9,전라남도 보성군 보성읍 보성리 351,34.77812896,127.088433,2025-05-20,4890000,전라남도 보성군
2025 섬 홍매화축제,1004섬 튤립·홍매화정원,2025-03-07,2025-03-09,개막식+전시공연+체험프로그램+특별기획전등,축제추진위원회,전라남도 신안군청,,061-240-4048,https://tour.shinan.go.kr/,,전라남도 신안군 임자면 대광해수욕장길 179,,,,2025-05-19,5010000,전라남도 신안군
옥천골 벚꽃축제,순창 경천변 일원,2025-03-28,2025-03-30,문화예술단체 및 초청가수 공연+관광객 노래자랑 등,옥천골벚꽃축제제전위원회,전북특별자치도 순창군,,,,,전북특별자치도 순창군 순창읍 옥천로 55,전북특별자치도 순창군 순창읍 순화리 111-22,35.37765271,127.1408778,2025-06-17,4771000,전북특별자치도 순창군
쌍치 추령천 벚꽃축제,순창 추령천 일원,2025-04-05,2025-04-05,산신제+문화예술공연+노래자랑 등,쌍치면민회,전북특별자치도 순창군,,,,,전북특별자치도 순창군 쌍치면 쌍계로 6-2,전북특별자치도 순창군 쌍치면 쌍계리 447-12,35.49952543,126.9992309,2025-06-17,4771000,전북특별자치도 순창군
군민의 날,순창읍 중앙로,2025-04-18,2025-04-18,음악회+측등행령+기원제 등,전북특별자치도 순창군,전북특별자치도 순창군,,063-650-1635,http://www.sunchang.go.kr,,전북특별자치도 순창군 경천로 33,전북특별자치도 순창군 순화리 315-4,35.374617,127.13749,2025-06-17,4771000,전북특별자치도 순창군
순창 채계산 유채꽃 축제,채계산,2025-04-26,2025-04-27,문화예술공연+체험+판매 등,적성슬로공동체위원회,전북특별자치도 순창군,적성면민회,,,,전북특별자치도 순창군 적성면 지모길 18,전북특별자치도 순창군 적성면 고원리 141,35.40978734,127.2131925,2025-06-17,4771000,전북특별자치도 순창군
순창장류축제,순창전통고추장민속마을 일원,2025-10-17,2025-10-19,문화공연+장류체험+전시+판매+주민참여 프로그램 등,순창장류축제추진위원회,전북특별자치도 순창군,문화체육관광부+전라북도+한국관광공사,063-652-9301,http://www.jangfestival.co.kr,강천산군립공원+전통고추장민속마을,전북특별자치도 순창군 순창읍 민속마을길 6-3,전북특별자치도 순창군 순창읍 백산리 265-4,35.36859967,127.109986,2025-06-17,4771000,전북특별자치도 순창군
2025년 정읍 벚꽃축제,정읍천변 어린이축구장 일원,2025-04-04,2025-04-06,기념행사+공연행사+부대행사+체험행사,JTV,전북특별자치도 정읍시청,,063-539-5235,http://www.jeongeup.go.kr,,,전북특별자치도 정읍시 시기동 530,35.56270814,126.8523929,2025-07-23,4691000,전북특별자치도 정읍시
제58회 동학농민혁명기념제,정읍 천변 어린이축구장+제일고등학교+정읍시 일원,2025-05-10,2025-05-11,기념식+공식제례+연계행사+기획행사,(사)동학농민혁명계승사업회,전북특별자치도 정읍시청,,063-539-6923,http://www.donghak.or.kr,,,전북특별자치도 정읍시 시기동 530,35.56270814,126.8523929,2025-07-23,4691000,전북특별자치도 정읍시
2025 정읍 물빛축제,정읍천변 어린이축구장 일원,2025-08-08,2025-08-10,기념행사+공연행사+부대행사+체험행사,(주)빅컴,전북특별자치도 정읍시청,,063-539-5235,http://www.jeongeup.go.kr,,,전북특별자치도 정읍시 시기동 530,35.56270814,126.8523929,2025-07-23,4691000,전북특별자치도 정읍시
곡성세계장미축제,곡성섬진강기차마을,2025-05-16,2025-05-25,주민참여프로그램 2개+메인프로그램 8개+부대 프로그램 5개+소비자 참여 프로그램 4개 등,전라남도 곡성군,전라남도 곡성군,,061-360-8471,www.gokseong.go.kr,,전라남도 곡성군 오곡면 기차마을로 232,전라남도 곡성군 오곡면 오지리 770-5,35.27753157,127.3082867,2025-05-25,B551011,한국관광공사
함평나비대축제,함평엑스포공원,2025-04-25,2025-05-06,나비판타지아 퍼레이드쇼+나비콘서트+전국나비댄스 경연대회+야외나비날리기+나비가면 만들기 등,함평축제관광재단,전라남도 함평군,,061-320-2247,https://www.hpftf.or.kr/contentsView.do?pageId=www142,,전라남도 함평군 함평읍 곤재로 27,전라남도 함평군 함평읍 수호리 1153-1,35.05813923,126.5226056,2025-05-25,B551011,한국관광공사
여수영취산진달래체험행사,영취산일원 및 흥국사 산림공원,2025-03-22,2025-03-23,산신제+개막식+체험행사+산악인등반대회 등,여수영취산진달래축제추진위원회,전라남도 여수시청,,061-659-4744,http://yeosujindalrae.co.kr/,,전라남도 여수시 흥국사길 160,전라남도 여수시 중흥동 17,,,2025-06-10,4810000,전라남도 여수시
청년거리문화한마당,여서동 미관광장 등,2025-04-01,2025-12-31,거리공연+프리마켓 등,청년거리문화한마당 추진위원회,전라남도 여수시청,,061-659-4743,,,전라남도 여수시 시청로 1,전라남도 여수시 학동 100,,,2025-06-10,4810000,전라남도 여수시
여수거북선축제,이순신광장 일원+거북선공원,2025-05-03,2025-05-05,통제영길놀이+개막행사+각종체험공연행사,전라남도 여수시,전라남도 여수시청,,061-659-4742,,,전라남도 여수시 이순신광장로 95,전라남도 여수시 중앙동 385-6번지 등,,,2025-06-10,4810000,전라남도 여수시
거문도백도은빛바다체험행사,삼산면 거문도 일원,2025-08-01,2025-08-02,길놀이+개막식+맨손활어잡기+지인망끌기체험,거문도백도은빛바다축제추진위원회,전라남도 여수시청,,061-659-4743,,,전라남도 여수시 삼산면 거문길 28-10,전라남도 여수시 삼산면 거문리 111-35,,,2025-06-10,4810000,전라남도 여수시
여수여자만갯벌노을체험행사,소라면 장척마을 일원,2025-09-20,2025-09-21,대나무망둥어낚시+개매기+바지락캐기+맨손고기잡이+가족사랑걷기체험+노을가요제,여수여자만갯벌노을체험행사추진위원회,전라남도 여수시청,,061-659-4742,,,전라남도 여수시 소라면 서부로 785-24,전라남도 여수시 소라면 사곡리 1198-7,,,2025-06-10,4810000,전라남도 여수시
여수동동북축제,용기공원 일원,2025-10-11,2025-10-12,북퍼레이드+아티스트공연+북전시및체험행사+경연대회,전라남도 여수시,전라남도 여수시청,,061-659-4742,http://www.yeosu.go.kr/dongdong,,전라남도 여수시 소호로 606,전라남도 여수시 학동 201,,,2025-06-10,4810000,전라남도 여수시
여수밤바다 불꽃축제,여수세계박람회장,2025-10-25,2024-10-01,공연행사+불꽃쇼+불꽃사진콘테스트,전라남도 여수시,전라남도 여수시청,,061-659-4744,https://www.yeosu.go.kr/ysff,,전라남도 여수시 박람회길 1,전라남도 여수시 덕충동 2005,,,2025-06-10,4810000,전라남도 여수시
"찾아라, 여수의 맛 섬슐랭 페스타",여수세계박람회장,2025-10-25,2025-10-25,공연 + 섬음식부스 + 체험부스 등,전라남도 여수시,전라남도 여수시청,,061-659-4743,,,전라남도 여수시 박람회길 1,전라남도 여수시 덕충동 2005,,,2025-06-10,4810000,전라남도 여수시
여수향일암일출제,돌산읍 임포마을 일원,2025-12-31,2026-01-01,재야의종타종식+일출기원제례+소망행사,여수향일암일출제추진위원회,전라남도 여수시청,,061-659-4742,,,전라남도 여수시 향일암로 60 종무소,전라남도 여수시 돌산읍 율림리 산7,,,2025-06-10,4810000,전라남도 여수시
제26회 화순운주문화축제,화순 운주사 일원,2025-11-01,2025-11-02,토크콘서트+사찰음식 프로그램 등,(재)화순군문화관광재단,(재)화순군문화관광재단,,070-8839-6142,,,전라남도 화순군 능주면 죽수길 73,전라남도 화순군 능주면 석고리 254-1,34.990145,126.957912,2025-06-26,4900000,전라남도 화순군
강진청자축제,강진군 대구면 고려청자요지 일원,2025-02-22,2025-03-03,개막식+축하공연물+물레경진대회 등,강진군 축제추진위원회,전라남도 강진군,동아기연+대원도재,061-430-3354,https://www.gangjin.go.kr/culture/festival,,전라남도 강진군 대구면 청자촌길 21-11,전라남도 강진군 대구면 사당리 117,34.508559,126.8001346,2025-05-14,6460000,전라남도
영암왕인문화축제,영암왕인박사유적지,2025-03-29,2025-04-06,개막식+왕인박사테마퍼레이드+공연+전시행사(49종),영암문화관광재단/영암군향토축제추진위원회,전라남도 영암군,,061-470-6643,,,전라남도 영암군 군서면 왕인로 440,전라남도 영암군 군서면 동구림리 산18-1,34.75653038,126.6291211,2025-05-14,6460000,전라남도
구례산수유꽃축제,구례산수유마을,2025-03-15,2025-03-23,산수유열매까기대회+꽃담길 걷기 등,구례군축제추진위원회,전라남도 구례군,,061-783-9114,,,전라남도 구례군 산동면 위안 월계길 6-12,전라남도 구례군 산동면 위안리 460-1,35.33637681,127.485122,2025-05-14,6460000,전라남도
광양매화축제,다압면 매화마을 일원,2025-03-07,2025-03-16,공연+매화매실관련포토존+전시+체험+판매 등,광양매화축제추진위원회,전라남도 광양시,,061-797-2721,,,전라남도 광양시 다압면 지막1길 55,전라남도 광양시 다압면 도사리 400-2,35.075499,127.7166502,2025-05-14,6460000,전라남도
신안퍼플섬라벤더축제,박지도 라벤더정원,2025-05-16,2025-05-25,개막식+체험및전시행사+부대시설운영,중부정원관리사업소,전라남도 신안군,,061-240-8151,,,전라남도 신안군 안좌면 소곡두리길 257-35,전라남도 신안군 안좌면 소곡리 597-1,34.71751981,126.1219056,2025-05-14,6460000,전라남도
2025 화순 봄꽃 축제,남산공원 및 꽃강길 일원,2025-04-18,2025-04-27,공연+전시+체험+먹거리부스 운영 등,전라남도 화순군,전라남도 화순군,,061-379-3575,화순군축제포털,,전라남도 화순군 화순읍 동헌길 23,전라남도 화순군 화순읍 훈리 35,35.06454,126.986532,2025-06-26,4900000,전라남도 화순군
제28회 백아산 철쭉제 및 6·25 희생자 위령제,백아산 마당바위+아산복지회관 잔디광장 일원,2025-05-02,2025-05-03,6·25 희생자 위령제+공연+특산물판매푸스운영+체험프로그램,백아면 청년회,백아면 청년회,,061-379-5103,,,전라남도 화순군 백아면 수리길 14-1,전라남도 화순군 백아면 수리 407-1,35.140356,127.150769,2025-06-26,4900000,전라남도 화순군
